URL;LULA;DILMA ROUSSEFF;TEMER;SERGIO MORO;ODEBRECHT;PETROBRAS
http://abonnes.lemonde.fr/ameriques/article/2014/09/06/grand-deballage-avant-les-elections-bresiliennes_4483183_3222.html?xtmc=lava_jato&xtcr=88;False;True;False;False;False;True
http://www.lemonde.fr/economie/article/2015/01/29/petrobras-le-scandale-qui-eclabousse-le-bresil_4566011_3234.html?xtmc=lava_jato&xtcr=85;True;True;False;False;False;True
http://www.lemonde.fr/ameriques/article/2015/03/04/au-bresil-54-personnalites-liees-a-la-politique-visees-dans-le-dossier-petrobras_4586872_3222.html?xtmc=lava_jato&xtcr=87;False;True;False;False;False;True
http://www.lemonde.fr/ameriques/article/2015/03/07/tremblement-de-terre-politique-au-bresil_4589332_3222.html?xtmc=lava_jato&xtcr=86;True;True;False;False;False;True
http://www.lemonde.fr/ameriques/article/2015/03/24/bresil-le-tresorier-du-parti-au-pouvoir-juge-pour-corruption-dans-le-scandale-petrobras_4599703_3222.html?xtmc=lava_jato&xtcr=84;True;True;False;False;False;True
http://www.lemonde.fr/ameriques/article/2015/06/19/bresil-nouvelles-arrestations-de-dirigeants-dans-le-scandale-de-corruption-petrobras_4658278_3222.html?xtmc=lava_jato&xtcr=83;False;True;False;False;True;True
http://www.lemonde.fr/economie/article/2015/08/12/la-descente-aux-enfers-de-marcelo-odebrecht_4722099_3234.html?xtmc=lava_jato&xtcr=82;False;False;False;False;True;True
http://www.lemonde.fr/ameriques/article/2015/09/10/le-chemin-de-croix-de-dilma-rousseff_4750709_3222.html#K7cwpg9S2ScZhUOk.99;True;True;False;False;False;False
http://www.lemonde.fr/international/article/2015/11/27/au-bresil-le-scandale-petrobras-fait-trembler-brasilia_4818598_3210.html#rbjvRTPIOffPttY5.99;True;False;False;False;False;True
http://abonnes.lemonde.fr/ameriques/article/2015/12/17/l-eliot-ness-bresilien_4833469_3222.html?xtmc=lava_jato&xtcr=80;True;True;False;True;True;True
http://www.lemonde.fr/ameriques/article/2016/02/05/au-bresil-le-carnaval-des-illusions-perdues_4860162_3222.html#wjvCtYYROvviHTxU.99;False;True;False;False;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/03/04/lula-tente-de-sauver-sa-peau-et-le-bresil_4876388_3222.html#YFGLz62sZWWT0wlw.99;True;True;False;False;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/03/05/bresil-les-partisans-de-l-ex-president-lula-denoncent-un-coup-d-etat_4877046_3222.html#h4EiTpG1gg3CmQmk.99;True;True;False;True;True;True
http://abonnes.lemonde.fr/ameriques/article/2016/03/06/bresil-rattrape-par-le-scandale-petrobras-l-ancien-president-lula-appelle-ses-partisans-a-le-soutenir_4877463_3222.html#uXdFtFz7qxba4aep.99;True;True;False;True;False;True
http://www.lemonde.fr/ameriques/article/2016/03/09/un-grand-patron-du-btp-bresilien-condamne_4879208_3222.html#HV6YqZiMGwmlKpK4.99;True;True;False;False;True;True
http://abonnes.lemonde.fr/international/article/2016/03/11/au-bresil-l-ancien-president-lula-tente-d-eviter-la-prison_4881374_3210.html#usLgXuV83lTbvhQ5.99;True;True;False;True;False;True
http://www.lemonde.fr/ameriques/article/2016/03/14/au-bresil-dilma-rousseff-face-a-des-manifestations-d-ampleur-inedite_4882140_3222.html#z20FUVOQd0xQoQMr.99;True;True;False;True;False;True
http://abonnes.lemonde.fr/international/article/2016/03/15/apres-la-colere-de-la-rue-quel-avenir-politique-pour-le-bresil_4883105_3210.html#UEL1IRvRYlhmiJIM.99;True;True;True;False;False;True
http://www.lemonde.fr/ameriques/article/2016/03/17/bresil-sergio-moro-le-juge-au-c-ur-du-scandale-petrobras_4885091_3222.html#rczp0sCFUWdtVijh.99;True;True;False;True;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/03/17/apres-l-arrivee-de-lula-au-gouvernement-le-bresil-s-embrase_4884300_3222.html#g4LdjttWrY8MgZRQ.99;True;True;True;True;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/03/17/bresil-un-juge-demande-la-suspension-de-l-entree-au-gouvernement-de-lula_4885125_3222.html#1PFLDKH65wyp1LLY.99;True;True;False;True;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/03/18/au-bresil-le-face-a-face-entre-lula-et-le-juge-moro_4885357_3222.html?xtmc=lava_jato&xtcr=68;True;True;False;True;False;True
http://www.lemonde.fr/ameriques/article/2016/03/18/bresil-les-protagonistes-de-la-crise-qui-secoue-le-pays_4886037_3222.html#PhWPlRPgTzibf76o.99;True;True;True;True;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/03/19/lula-se-pose-en-reconciliateur-du-bresil_4886120_3222.html#hjQM3hjdF7rAiO69.99;True;True;True;True;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/03/25/dilma-rousseff-pour-m-oter-le-pouvoir-il-faudra-des-preuves_4889860_3222.html#XeW1r8La1GlcMGWm.99;True;True;False;False;False;True
http://abonnes.lemonde.fr/m-actu/article/2016/03/28/le-juge-moro-ennemi-jure-de-lula-idole-des-bresiliens_4891019_4497186.html?xtmc=lava_jato&xtcr=64;True;True;False;False;False;False
http://abonnes.lemonde.fr/ameriques/article/2016/03/29/l-operation-seduction-de-lula-pour-defendre-dilma-rousseff_4891456_3222.html#L9CmGIpe5pWFBT5W.99;True;True;False;True;False;True
http://www.lemonde.fr/ameriques/article/2016/03/30/dilma-rousseff-lachee-par-son-principal-allie_4892108_3222.html#HITxDmLZKeWRb85h.99;True;True;True;True;False;True
http://abonnes.lemonde.fr/panama-papers/article/2016/04/04/bresil-petrobras-au-c-ur-de-la-corruption_4895173_4890278.html#SYJvCX2kmsjB6JT5.99;False;True;False;False;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/04/07/au-bresil-la-troisieme-voie-de-marina-silva_4897664_3222.html#cQP7pRqjhGwDUpyP.99;True;True;True;True;False;True
http://www.lemonde.fr/idees/article/2016/04/16/lava-jato-premices-d-un-berluconisme-bresilien_4903435_3232.html#OQU80vKSLfx3YXkr.99;False;False;False;True;False;True
http://abonnes.lemonde.fr/idees/article/2016/04/16/le-parti-des-travailleurs-s-est-laisse-engluer-par-un-systeme-politique-a-bout-de-souffle_4903544_3232.html#ylEmGxwd87U4OwCB.99;True;True;False;False;False;False
http://www.lemonde.fr/ameriques/article/2016/05/13/les-embarras-judiciaires-de-michel-temer-le-president-bresilien-par-interim_4918968_3222.html#mCfAvMZ9g72ieW3x.99;False;True;True;False;False;True
http://www.lemonde.fr/ameriques/article/2016/05/16/apres-la-chute-de-dilma-rousseff-le-nouveau-gouvernement-bresilien-ne-seduit-pas_4920059_3222.html#wSv6rJgp2da6XCmK.99;True;True;True;False;False;True
http://www.lemonde.fr/ameriques/article/2016/05/24/au-bresil-le-gouvernement-par-interim-rattrape-par-le-scandale-de-corruption-petrobras_4925365_3222.html#mhr73mxwzd5l2AsY.99;False;True;True;False;False;True
http://abonnes.lemonde.fr/idees/article/2016/06/07/l-implosion-du-systeme-bresilien_4940662_3232.html?xtmc=operation_lava_jato&xtcr=78;True;True;True;False;True;True
http://www.lemonde.fr/ameriques/article/2016/07/08/bresil-les-larmes-ameres-d-eduardo-cunha_4966547_3222.html#twyVdzfterz8kdC3.99;False;True;True;False;False;False
http://abonnes.lemonde.fr/ameriques/article/2016/07/29/au-bresil-l-ex-president-lula-inculpe-pour-tentative-d-entrave-a-la-justice_4976480_3222.html#Mq8wcEz6y4YYQYMX.99;True;True;False;True;False;True
http://www.lemonde.fr/ameriques/article/2016/09/13/bresil-eduardo-cunha-ineligible-jusqu-en-2027_4996632_3222.html?xtmc=operation_lava_jato&xtcr=64;True;True;True;False;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/09/14/l-ancien-president-bresilien-lula-et-son-epouse-inculpes-pour-corruption_4997791_3222.html#icvFpWQumXqggxC9.99;True;True;True;True;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/09/15/face-aux-accusations-l-ancien-president-bresilien-lula-contre-attaque_4998481_3222.html#lbZGwWITPe7bcWCy.99;True;True;False;False;False;True
http://www.lemonde.fr/economie/article/2016/09/17/au-bresil-le-business-lucratif-des-bracelets-electroniques_4999244_3234.html#Z954hKpblZOMrJym.99;False;False;False;False;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/09/20/l-ex-president-bresilien-lula-sera-juge-pour-corruption-dans-l-affaire-petrobras_5000947_3222.html#DGFWX3bdpISOxgYe.99;True;False;True;True;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/09/22/bresil-l-ancien-ministre-des-finances-de-dilma-rousseff-arrete_5001949_3222.html#WJ0yMrjpYPXjkTJY.99;True;True;True;True;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/10/11/l-ex-president-bresilien-lula-mis-en-cause-dans-un-schema-de-corruption-en-angola_5011451_3222.html#8GeGW0GaTa7zvLl5.99;True;False;True;False;True;True
http://abonnes.lemonde.fr/ameriques/article/2016/10/14/au-bresil-lula-inculpe-pour-la-troisieme-fois_5013522_3222.html#PGhrGLyh2ddekbff.99;True;True;True;True;True;True
http://www.lemonde.fr/ameriques/article/2016/10/19/bresil-eduardo-cunha-a-ete-arrete_5016643_3222.html#fmgLm0VsYUkUR8Co.99;True;True;True;True;False;False
http://www.lemonde.fr/ameriques/article/2016/10/31/un-evangelique-prend-la-mairie-de-rio_5022862_3222.html#1H55QZwUjOBqIOtF.99;False;False;False;False;False;False
http://www.lemonde.fr/idees/article/2016/11/05/le-desarroi-de-la-societe-bresilienne_5025904_3232.html#lEsyABwfk9YIZY56.99;True;True;False;False;False;False
http://www.lemonde.fr/economie/article/2016/11/11/la-douloureuse-renaissance-de-petrobras_5029389_3234.html?xtmc=lava_jato&xtcr=4;False;False;False;False;False;True
http://www.lemonde.fr/economie/article/2016/11/11/la-deconfiture-de-petrobras-a-accentue-le-marasme-dans-l-etat-de-rio_5029404_3234.html#PzwdD8Of1sqFpfud.99;False;False;False;False;False;True
http://www.lemonde.fr/ameriques/article/2016/11/15/carmen-lucia-la-mere-superieure-qui-veut-en-finir-avec-la-corruption-au-bresil_5031619_3222.html#hpYllRZ07fDcpuyh.99;True;False;True;False;False;True
http://abonnes.lemonde.fr/ameriques/article/2016/11/26/le-gouvernement-bresilien-fragilise-par-la-demission-d-un-nouveau-ministre_5038552_3222.html#V4ey7tiV7p1XzFhj.99;False;True;True;False;True;True
http://www.lemonde.fr/m-moyen-format/article/2016/11/29/l-ex-gouverneur-de-rio-de-la-vie-de-chateau-au-cachot_5040070_4497271.html#ZdL5U9GfSg4Lgv4A.99;True;False;False;False;False;False
http://www.lemonde.fr/international/article/2016/12/05/les-bresiliens-dans-la-rue-contre-la-corruption_5043350_3210.html#jq1LI6O96Fz8plzo.99;False;True;True;True;True;True
http://www.lemonde.fr/economie/article/2016/12/09/au-bresil-les-reformes-tardent-et-l-economie-patine_5046159_3234.html#pWLErgj3K2R1Ax2H.99;True;True;True;False;False;False
http://www.lemonde.fr/ameriques/article/2016/12/15/le-president-bresilien-piege-par-un-nouveau-scandale-de-corruption_5049107_3222.html#ELgbsz0lZ7YSeIzI.99;False;False;True;False;True;False
http://abonnes.lemonde.fr/ameriques/article/2016/12/20/au-bresil-la-saison-2-de-l-affaire-lava-jato_5051585_3222.html#Tclu2J3tiTxRrHHx.99;True;True;True;True;True;True
http://abonnes.lemonde.fr/ameriques/article/2017/01/23/au-bresil-mort-d-un-juge-anticorruption-qui-instruisait-l-enquete-lava-jato_5067507_3222.html#OqkzP2PoyisiQEFC.99;True;False;True;True;True;True
http://www.lemonde.fr/economie/article/2017/01/30/fin-de-cavale-pour-eike-batista-le-steve-jobs-do-brasil-accuse-de-corruption_5071406_3234.html#XVkETrKtPgKLlb8f.99;False;False;False;False;False;True
http://abonnes.lemonde.fr/ameriques/article/2017/02/07/designation-controversee-d-un-nouveau-juge-a-la-cour-supreme-du-bresil_5076173_3222.html#4XHUV58FEjW0p5oU.99;True;False;True;False;False;True
http://abonnes.lemonde.fr/economie/article/2017/02/07/odebrecht-multinationale-de-la-corruption_5075773_3234.html#FgotwVfiAbjH6LZg.99;False;True;False;False;True;True
http://abonnes.lemonde.fr/international/article/2017/02/09/le-president-bresilien-designe-son-ministre-de-la-justice-pour-la-cour-supreme_5077046_3210.html#pAzVTWzX1XS1jspp.99;False;False;True;False;False;True
http://abonnes.lemonde.fr/m-actu/article/2017/02/10/les-medecins-de-l-epouse-de-lula-deversaient-leur-haine-sur-whatsapp_5077838_4497186.html#XKIRPIQoeGjoVUkh.99;True;False;True;False;False;False
http://abonnes.lemonde.fr/m-moyen-format/article/2017/02/24/au-carnaval-de-rio-la-politique-s-invite-a-la-fete_5084623_4497271.html#TZvM00yBLKkrWpLU.99;False;False;True;False;False;True
http://abonnes.lemonde.fr/idees/article/2017/02/28/au-bresil-le-regne-de-l-impunite_5086863_3232.html?xtmc=lava_jato&xtcr=49;True;True;True;True;True;True
http://abonnes.lemonde.fr/jeux-olympiques-rio-2016/article/2017/03/03/le-monde-revele-les-soupcons-de-corruption-sur-l-attribution-des-jo-2016-a-rio_5088557_4910444.html#X1j8qPcb3KdZ2s6B.99;True;False;False;False;False;False
http://abonnes.lemonde.fr/ameriques/article/2017/03/15/de-nouvelles-personnalites-politiques-visees-par-l-enquete-petrobras_5094506_3222.html#WJueEES7E3MqEuW4.99;True;True;True;True;True;True
http://www.lemonde.fr/ameriques/article/2017/03/27/des-manifestations-sans-passion-au-bresil-pour-soutenir-lava-jato_5101116_3222.html#dzHKI1T6cCfAGC3A.99;True;True;True;True;False;True
http://www.lemonde.fr/economie/article/2017/03/30/bresil-le-lourd-tribut-economique-du-retour-a-l-ethique_5103268_3234.html#Ob7rDhTmF0HeQbQt.99;False;False;False;False;False;True
http://www.lemonde.fr/international/article/2017/03/30/au-bresil-eduardo-cunha-condamne-a-quinze-ans-et-quatre-mois-de-prison_5103541_3210.html#S5yb4ZJuickZSxaS.99;False;True;True;True;True;True
http://abonnes.lemonde.fr/ameriques/article/2017/04/12/corruption-au-bresil-la-justice-va-enqueter-sur-80-parlementaires-et-ministres_5109754_3222.html#MIyum6C5YfMhwEPz.99;True;True;True;False;True;True
http://abonnes.lemonde.fr/ameriques/article/2017/04/13/l-ensemble-du-vieux-monde-politique-bresilien-dans-la-tourmente-lava-jato_5110670_3222.html#LS4eUzEat8b0tQok.99;True;True;True;False;False;True
http://www.lemonde.fr/ameriques/article/2017/04/14/lava-jato-l-ampleur-de-la-corruption-au-bresil-s-affiche-en-video_5111482_3222.html#MfpyjX1vvCRajTVF.99;True;True;True;False;True;True
http://abonnes.lemonde.fr/idees/article/2017/04/25/la-politique-bresilienne-dans-l-impasse_5117131_3232.html?xtmc=lava_jato&xtcr=36;True;True;True;False;True;False
http://abonnes.lemonde.fr/ameriques/article/2017/05/04/au-bresil-la-liberation-de-l-ex-bras-droit-de-lula-suscite-l-emoi_5122242_3222.html#T4GmlYtsBil3EElM.99;True;False;False;True;False;True
http://abonnes.lemonde.fr/ameriques/article/2017/05/11/au-bresil-lula-face-a-la-justice-et-a-un-avenir-politique-incertain_5125782_3222.html#vQMl5cAQRWIksdda.99;True;True;True;True;False;False
http://abonnes.lemonde.fr/m-moyen-format/article/2017/05/12/dilma-rousseff-un-an-apres-sa-chute-ni-remords-ni-regrets_5127072_4497271.html#WGQVf7lhSPl5fG3z.99;True;True;True;True;False;True
http://www.lemonde.fr/international/article/2017/05/12/un-an-apres-son-arrivee-au-pouvoir-nombre-de-bresiliens-souhaitent-refermer-la-parenthese-temer_5127075_3210.html#T0AbQMOqCBQM4tE1.99;True;True;True;False;False;False
http://abonnes.lemonde.fr/international/article/2017/05/16/au-bresil-premiere-annee-difficile-pour-le-president-michel-temer_5128584_3210.html#yPSFJeS6HWqcwQhj.99;True;True;True;True;False;False
http://abonnes.lemonde.fr/ameriques/article/2017/05/18/au-bresil-le-president-temer-eclabousse-par-de-nouvelles-revelations_5129489_3222.html#M7C8Y75bgmMKGosM.99;True;True;True;False;False;False
http://abonnes.lemonde.fr/ameriques/article/2017/05/18/bresil-le-president-temer-refuse-de-demissionner-et-plaide-son-innocence_5130121_3222.html#PuqUkX4hH8zZ9pMq.99;False;True;True;False;False;False
http://abonnes.lemonde.fr/ameriques/article/2017/05/19/bresil-le-president-michel-temer-accuse-d-obstruction-a-la-justice_5130774_3222.html#46FrOB3DDv35WJTM.99;False;False;True;False;False;True
http://abonnes.lemonde.fr/ameriques/article/2017/05/20/bresil-le-president-michel-temer-reclame-la-suspension-de-l-enquete-qui-le-vise_5131168_3222.html#yKCgTBCcHMZVXMFE.99;False;False;True;False;False;False
http://abonnes.lemonde.fr/police-justice/article/2017/05/21/la-justice-francaise-enquete-sur-des-soupcons-de-corruption-apres-la-vente-de-sous-marins-au-bresil_5131272_1653578.html#wEhUBTmR1yfz3hAM.99;True;False;False;False;True;True
http://www.lemonde.fr/ameriques/article/2017/05/22/au-bresil-la-mobilisation-s-affaiblit-mais-pas-les-ennuis-de-michel-temer_5131415_3222.html#vV8HqIBjS4zi4R6k.99;True;True;True;False;False;False
http://www.lemonde.fr/economie/article/2017/05/24/au-bresil-les-cow-boys-de-jbs-font-trembler-la-republique_5133225_3234.html#VtEb4t2L7zAZ0OLo.99;False;False;True;False;False;False
http://www.lemonde.fr/economie/article/2017/05/31/le-faux-depart-de-l-economie-bresilienne_5136450_3234.html?xtmc=lava_jato&xtcr=21;False;True;True;False;False;False
http://www.lemonde.fr/ameriques/article/2017/05/22/au-bresil-la-mobilisation-s-affaiblit-mais-pas-les-ennuis-de-michel-temer_5131415_3222.html#VClzEzGMmURHmcfO.99;True;True;True;False;False;False
http://www.lemonde.fr/economie/article/2017/05/24/au-bresil-les-cow-boys-de-jbs-font-trembler-la-republique_5133225_3234.html#DkCUvK230JiT88dz.99;False;False;True;False;False;False
http://www.lemonde.fr/economie/article/2017/05/31/le-faux-depart-de-l-economie-bresilienne_5136450_3234.html?xtmc=lava_jato&xtcr=16;False;True;True;False;False;False
http://www.lemonde.fr/ameriques/article/2017/06/03/au-bresil-semaine-decisive-pour-l-avenir-de-michel-temer_5138319_3222.html#csG0cuzki1ymr6iR.99;False;True;True;False;False;False
http://abonnes.lemonde.fr/ameriques/article/2017/06/06/le-proces-qui-pourrait-signer-la-fin-du-mandat-du-president-temer-s-ouvre-au-bresil_5139533_3222.html#8LhfEcLcB6Bj1t5I.99;True;True;True;False;False;False
http://abonnes.lemonde.fr/ameriques/article/2017/06/09/le-bresil-suspendu-au-jugement-de-son-president_5140986_3222.html#ieuh08VroGrlapek.99;True;True;True;False;True;False
http://abonnes.lemonde.fr/ameriques/article/2017/06/10/le-president-bresilien-conserve-son-mandat_5141759_3222.html#rkl3xLJEj07omrt7.99;True;True;True;False;True;False
http://www.lemonde.fr/ameriques/article/2017/06/14/bresil-l-ex-gouverneur-de-l-etat-de-rio-condamne-a-14-ans-de-prison_5144251_3222.html#SFbtoLEGWJqwWIZk.99;False;False;True;True;False;True
http://abonnes.lemonde.fr/idees/article/2017/06/22/l-etoile-palie-du-bresil-sur-la-scene-internationale_5149099_3232.html#dVI3A5TdhMgbR7uZ.99;True;True;True;False;False;False
http://abonnes.lemonde.fr/ameriques/article/2017/06/27/demande-de-mise-en-accusation-pour-corruption-contre-le-president-bresilien-temer_5151500_3222.html#V2U6gqVld2DEIqXI.99;False;True;True;False;False;False
http://abonnes.lemonde.fr/ameriques/article/2017/06/27/au-bresil-michel-temer-a-l-offensive-pour-denoncer-une-justice-de-fiction_5152098_3222.html#B4xvGp7280q8ezJP.99;False;True;True;False;False;False
http://abonnes.lemonde.fr/ameriques/article/2017/07/12/bresil-l-ancien-president-lula-condamne-a-neuf-ans-et-demi-de-prison-pour-corruption_5159746_3222.html#fA6qvqvGDXIM6QEe.99;True;True;True;True;False;True
http://abonnes.lemonde.fr/ameriques/article/2017/03/26/affaire-petrobras-retour-sur-les-trois-annees-qui-ont-marque-le-bresil_5100932_3222.html#vyOSLMlm7CWF0Ica.99;True;True;True;True;True;True
http://www.lemonde.fr/les-decodeurs/article/2017/07/13/bresil-comprendre-la-condamnation-de-lula-et-le-scandale-petrobras-en-8-questions_5160238_4355770.html#xoA1OBLyYrKAAfur.99;True;True;True;False;False;True
http://abonnes.lemonde.fr/ameriques/article/2017/07/19/bresil-la-justice-bloque-des-comptes-et-saisit-des-biens-de-l-ex-president-lula_5162675_3222.html#Vdisue4t4sdvlZPI.99;True;False;False;True;False;True
http://abonnes.lemonde.fr/ameriques/article/2017/07/19/perou-le-president-kuczynski-confronteaux-retombees-du-scandale-odebrecht_5162370_3222.html#y58iaL8dAedkcRpJ.99;False;False;False;False;True;False
