Data;Título;Link;Termo da pesquisa ;Autor;Fontes;Assuntos tratados;Conteúdo;
06.09.14;Des dizaines de parlementaires brésiliens accusés d'avoir touché des pots-de-vin;http://liberation.fr/planete/2014/09/06/des-dizaines-de-parlementaires-bresiliens-accuses-d-avoir-touche-des-pots-de-vin_1094840;Lava Jato; AFP;Folha de S. Paulo;Delação premiada de Paulo Roberto Costa;O texto fala que a delação de Paulo Roberto Costa poderia afetar a eleição de 2014 e prejudicar Dilma Rousseff. Marina Silva é citada como a favorita a vencer a disputa presidencial.;
06.09.14;Des dizaines de parlementaires brésiliens accusés d'avoir touché des pots-de-vin;http://liberation.fr/planete/2014/09/06/des-dizaines-de-parlementaires-bresiliens-accuses-d-avoir-touche-des-pots-de-vin_1094840;Lava Jato; AFP;Estado de S. Paulo;Delação premiada de Paulo Roberto Costa;O texto fala que a delação de Paulo Roberto Costa poderia afetar a eleição de 2014 e prejudicar Dilma Rousseff. Marina Silva é citada como a favorita a vencer a disputa presidencial.;
06.09.14;Des dizaines de parlementaires brésiliens accusés d'avoir touché des pots-de-vin;http://liberation.fr/planete/2014/09/06/des-dizaines-de-parlementaires-bresiliens-accuses-d-avoir-touche-des-pots-de-vin_1094840;Lava Jato; AFP;;Delação premiada de Paulo Roberto Costa;O texto fala que a delação de Paulo Roberto Costa poderia afetar a eleição de 2014 e prejudicar Dilma Rousseff. Marina Silva é citada como a favorita a vencer a disputa presidencial.;
28.02.15;Rousseff tente de passer entre les gouttes du «Petrolão»;http://liberation.fr/planete/2015/02/27/rousseff-tente-de-passer-entre-les-gouttes-du-petrolao_1211209;Lava Jato;Chantal Rayes;Eliane Cantanhêde (jornal O Estado de São Paulo);Lava Jato;"O texto fala que a Operação Lava Jato poderia desestabilizar o governo de Dilma e acabar pesando na hora de pedirem a sua destituição. Dilma é citada como alguém que não estava diretamente ligada ao ""Petrolão""";
28.02.15;Rousseff tente de passer entre les gouttes du «Petrolão»;http://liberation.fr/planete/2015/02/27/rousseff-tente-de-passer-entre-les-gouttes-du-petrolao_1211209;Lava Jato;Chantal Rayes;Dilma Rousseff;Lava Jato;"O texto fala que a Operação Lava Jato poderia desestabilizar o governo de Dilma e acabar pesando na hora de pedirem a sua destituição. Dilma é citada como alguém que não estava diretamente ligada ao ""Petrolão""";
06.02.15;Petrobras : le Parti des travailleurs éclaboussé;http://liberation.fr/planete/2015/02/05/petrobras-le-parti-des-travailleurs-eclabousse_1196549;Lava Jato;sem assinatura;porta-voz da Polícia Federal;Prisão de João Vaccari Neto;Lopération fédérale, baptisée «Lava Jato» («lavage rapide»), a délivré jeudi 62 mandats judiciaires, arrêté une vingtaine de personnes, et procédé à 40 perquisitions dans plusieurs Etats.;
06.02.15;Petrobras : le Parti des travailleurs éclaboussé;http://liberation.fr/planete/2015/02/05/petrobras-le-parti-des-travailleurs-eclabousse_1196549;Lava Jato;sem assinatura;;Prisão de João Vaccari Neto;Lopération fédérale, baptisée «Lava Jato» («lavage rapide»), a délivré jeudi 62 mandats judiciaires, arrêté une vingtaine de personnes, et procédé à 40 perquisitions dans plusieurs Etats.;
27.01.16;Un policier d'origine japonaise propulsé star nationale au Brésil;http://liberation.fr/planete/2016/01/27/un-policier-d-origine-japonaise-propulse-star-nationale-au-bresil_1429136;Lava Jato;François Xavier Gomes;Newton Ishii (vídeo dele no Facebook);Japonês da Federal;O texto fala sobre a popularidade que Newton Ishii, o Japonês da Federal, ganhou no Brasil e sobre o fato de ele até virar tema de marchinhas de Carnaval;
01.04.16;Qui veut encore sauver la gauche brésilienne ?;http://liberation.fr/planete/2016/03/31/qui-veut-encore-sauver-la-gauche-bresilienne_1443168;Lava Jato;Chantal Rayes;Análise/ Juliana Vasconcelos (fotógrafa pró-Dilma);Descrédito da esquerda Brasileira;" Além da análise da repórter Chantal Rayes, há um espaço para pessoas pró e anti impeachment demonstrarem sua opinião/ Trecho de destaque ""Ironie du sort, la police fédérale et le ministère public qui ont révélé laffaire nont jamais été aussi actifs et indépendants que sous le PT. Le parti de Lula nest pas seul en cause dans le scandale, loin sen faut. Même Aécio Neves, ténor de lopposition, est cité dans laffaire. En révélant les entrailles du pouvoir, lopération Lava Jato («lavage express») menace désormais lensemble de la classe politique.""";
01.04.16;Qui veut encore sauver la gauche brésilienne ?;http://liberation.fr/planete/2016/03/31/qui-veut-encore-sauver-la-gauche-bresilienne_1443168;Lava Jato;Chantal Rayes;Domingos Tomé (administrador de empresas pró-Dilma);Descrédito da esquerda Brasileira;" Além da análise da repórter Chantal Rayes, há um espaço para pessoas pró e anti impeachment demonstrarem sua opinião/ Trecho de destaque ""Ironie du sort, la police fédérale et le ministère public qui ont révélé laffaire nont jamais été aussi actifs et indépendants que sous le PT. Le parti de Lula nest pas seul en cause dans le scandale, loin sen faut. Même Aécio Neves, ténor de lopposition, est cité dans laffaire. En révélant les entrailles du pouvoir, lopération Lava Jato («lavage express») menace désormais lensemble de la classe politique.""";
01.04.16;Qui veut encore sauver la gauche brésilienne ?;http://liberation.fr/planete/2016/03/31/qui-veut-encore-sauver-la-gauche-bresilienne_1443168;Lava Jato;Chantal Rayes;Ana Paula Coelho (advogada anti-Dilma);Descrédito da esquerda Brasileira;" Além da análise da repórter Chantal Rayes, há um espaço para pessoas pró e anti impeachment demonstrarem sua opinião/ Trecho de destaque ""Ironie du sort, la police fédérale et le ministère public qui ont révélé laffaire nont jamais été aussi actifs et indépendants que sous le PT. Le parti de Lula nest pas seul en cause dans le scandale, loin sen faut. Même Aécio Neves, ténor de lopposition, est cité dans laffaire. En révélant les entrailles du pouvoir, lopération Lava Jato («lavage express») menace désormais lensemble de la classe politique.""";
01.04.16;Qui veut encore sauver la gauche brésilienne ?;http://liberation.fr/planete/2016/03/31/qui-veut-encore-sauver-la-gauche-bresilienne_1443168;Lava Jato;Chantal Rayes;Renato Diniz (advogado anti-Dilma);Descrédito da esquerda Brasileira;" Além da análise da repórter Chantal Rayes, há um espaço para pessoas pró e anti impeachment demonstrarem sua opinião/ Trecho de destaque ""Ironie du sort, la police fédérale et le ministère public qui ont révélé laffaire nont jamais été aussi actifs et indépendants que sous le PT. Le parti de Lula nest pas seul en cause dans le scandale, loin sen faut. Même Aécio Neves, ténor de lopposition, est cité dans laffaire. En révélant les entrailles du pouvoir, lopération Lava Jato («lavage express») menace désormais lensemble de la classe politique.""";
01.04.16;La campagne musclée du juge Moro contre Lula;http://liberation.fr/planete/2016/03/31/la-campagne-musclee-du-juge-moro-contre-lula_1443149;Lava Jato;Chantal Rayes;Eloisa Machado (professora de Direito da FGV);Perfil de Sergio Moro;"O texto traça um perfil de Moro e fala que ele quer prender Lula a qualquer preço. O vazamento da conversa entre Dilma e Lula é tratado. ""Mais il est très inquiétant quun juge de première instance puisse faire autant de dégâts. Son impartialité est désormais en cause.»";
01.04.16;La campagne musclée du juge Moro contre Lula;http://liberation.fr/planete/2016/03/31/la-campagne-musclee-du-juge-moro-contre-lula_1443149;Lava Jato;Chantal Rayes;Fausto de Sanctis (magistrado);Perfil de Sergio Moro;"O texto traça um perfil de Moro e fala que ele quer prender Lula a qualquer preço. O vazamento da conversa entre Dilma e Lula é tratado. ""Mais il est très inquiétant quun juge de première instance puisse faire autant de dégâts. Son impartialité est désormais en cause.»";
01.04.16;La campagne musclée du juge Moro contre Lula;http://liberation.fr/planete/2016/03/31/la-campagne-musclee-du-juge-moro-contre-lula_1443149;Lava Jato;Chantal Rayes;Sergio Moro;Perfil de Sergio Moro;"O texto traça um perfil de Moro e fala que ele quer prender Lula a qualquer preço. O vazamento da conversa entre Dilma e Lula é tratado. ""Mais il est très inquiétant quun juge de première instance puisse faire autant de dégâts. Son impartialité est désormais en cause.»";
01.04.16;La campagne musclée du juge Moro contre Lula;http://liberation.fr/planete/2016/03/31/la-campagne-musclee-du-juge-moro-contre-lula_1443149;Lava Jato;Chantal Rayes;;Perfil de Sergio Moro;"O texto traça um perfil de Moro e fala que ele quer prender Lula a qualquer preço. O vazamento da conversa entre Dilma e Lula é tratado. ""Mais il est très inquiétant quun juge de première instance puisse faire autant de dégâts. Son impartialité est désormais en cause.»";
05.03.16;Lula au commissariat, le crépuscule dune idole ?;http://liberation.fr/planete/2016/03/04/lula-au-commissariat-le-crepuscule-d-une-idole_1437611;Lava Jato;Chantal Rayes;Adriano Pilatti (partidário do PT e advogado);Lula;"O texto trata da condução coercitiva de Lula e fala sobre os abalos da imagem do ex-presidente, antes muito bem visto no Brasil. ""Le «père des pauvres» nest plus intouchable. Une enquête ne le crédite que de 20 % des intentions de vote, derrière les ténors de lopposition, au cas où il se présenterait à la présidentielle de 2018. Une hypothèse quil nexclut pas.";
05.03.16;Lula au commissariat, le crépuscule dune idole ?;http://liberation.fr/planete/2016/03/04/lula-au-commissariat-le-crepuscule-d-une-idole_1437611;Lava Jato;Chantal Rayes;jornalista que não tem o nome citado;Lula;"O texto trata da condução coercitiva de Lula e fala sobre os abalos da imagem do ex-presidente, antes muito bem visto no Brasil. ""Le «père des pauvres» nest plus intouchable. Une enquête ne le crédite que de 20 % des intentions de vote, derrière les ténors de lopposition, au cas où il se présenterait à la présidentielle de 2018. Une hypothèse quil nexclut pas.";
19.04.16;Cruelle sortie annoncée pour Dilma Rousseff;http://liberation.fr/planete/2016/04/18/cruelle-sortie-annoncee-pour-dilma-rousseff_1447078;Lava Jato;Christian Losson;Editorial;Impeachment de Dilma;"O jornalista diz que a saída de Dilma é triste, pois ela nunca foi acusada de enriquecimento pessoal. ""Le Brésil, au fond, na pas besoin dun «Lava Jato», un lavage express, mais de réformes profondes (financement des campagnes, gouvernance dun système politique balkanisé, etc.) Au risque, sinon, de faire du pays le seul perdant de ce qui pourrait ressembler à une telenovela en mondovision. Mais nest quun résumé des rapports de force qui structurent bien des pays. Et pas seulement le Brésil""";
12.05.16;Destitution: Rousseff dénonce un «coup d'Etat»;http://liberation.fr/planete/2016/05/12/destitution-rousseff-denonce-un-coup-d-etat_1452084;Lava Jato;Chantal Rayes;Dilma Rousseff;Impeachment de Dilma;Vanessa Grazziotin diz que o impeachment de Dilma é uma estratégia da oposição para colocar fim na Operação Lava Jato;
12.05.16;Destitution: Rousseff dénonce un «coup d'Etat»;http://liberation.fr/planete/2016/05/12/destitution-rousseff-denonce-un-coup-d-etat_1452084;Lava Jato;Chantal Rayes;Randolfe Rodrigues;Impeachment de Dilma;Vanessa Grazziotin diz que o impeachment de Dilma é uma estratégia da oposição para colocar fim na Operação Lava Jato;
12.05.16;Destitution: Rousseff dénonce un «coup d'Etat»;http://liberation.fr/planete/2016/05/12/destitution-rousseff-denonce-un-coup-d-etat_1452084;Lava Jato;Chantal Rayes;Vanessa Grazziotin;Impeachment de Dilma;Vanessa Grazziotin diz que o impeachment de Dilma é uma estratégia da oposição para colocar fim na Operação Lava Jato;
12.05.16;Destitution: Rousseff dénonce un «coup d'Etat»;http://liberation.fr/planete/2016/05/12/destitution-rousseff-denonce-un-coup-d-etat_1452084;Lava Jato;Chantal Rayes;procurador Anibal Perez Liñan;Impeachment de Dilma;Vanessa Grazziotin diz que o impeachment de Dilma é uma estratégia da oposição para colocar fim na Operação Lava Jato;
12.05.16;Destitution: Rousseff dénonce un «coup d'Etat»;http://liberation.fr/planete/2016/05/12/destitution-rousseff-denonce-un-coup-d-etat_1452084;Lava Jato;Chantal Rayes;;Impeachment de Dilma;Vanessa Grazziotin diz que o impeachment de Dilma é uma estratégia da oposição para colocar fim na Operação Lava Jato;
06.05.16;Brésil : le pourfendeur de Rousseff, arroseur arrosé;http://liberation.fr/planete/2016/05/05/bresil-le-pourfendeur-de-rousseff-arroseur-arrose_1450792;Lava Jato;François Xavier Gomes;Análise/;Eduardo Cunha;O texto fala sobre o afastamento de Eduardo Cunha da Câmara;
09.06.16;Brésil: le héros anti-corruption était contrebandier;http://liberation.fr/planete/2016/06/09/bresil-le-heros-anti-corruption-etait-contrebandier_1458366;Lava Jato;Mégane De Amorim;Mensagens no Twitter;Condenação do Japonês da Federal;Newton Ishii, o japonês da Federal, foi condenado por contrabando na fronteira do Brasil com o Paraguai.;
09.06.16;Brésil: le héros anti-corruption était contrebandier;http://liberation.fr/planete/2016/06/09/bresil-le-heros-anti-corruption-etait-contrebandier_1458366;Lava Jato;Mégane De Amorim;Comunicado da FENAPEF (Federação Nacional de Policiais Federais);Condenação do Japonês da Federal;Newton Ishii, o japonês da Federal, foi condenado por contrabando na fronteira do Brasil com o Paraguai.;
09.06.16;Brésil: le héros anti-corruption était contrebandier;http://liberation.fr/planete/2016/06/09/bresil-le-heros-anti-corruption-etait-contrebandier_1458366;Lava Jato;Mégane De Amorim;Luís Humberto Carrijo (responsável pela Comunicação da PF);Condenação do Japonês da Federal;Newton Ishii, o japonês da Federal, foi condenado por contrabando na fronteira do Brasil com o Paraguai.;
09.06.16;Brésil: le héros anti-corruption était contrebandier;http://liberation.fr/planete/2016/06/09/bresil-le-heros-anti-corruption-etait-contrebandier_1458366;Lava Jato;Mégane De Amorim;;Condenação do Japonês da Federal;Newton Ishii, o japonês da Federal, foi condenado por contrabando na fronteira do Brasil com o Paraguai.;
13.07.16;Lula : «La politique, cest lart de limpossible»;http://liberation.fr/planete/2016/07/12/luis-inacio-lula-da-silva-la-politique-c-est-l-art-de-l-impossible_1465831;Lava Jato;Chantal Rayes;Lula;Entrevista com Lula;Entrevista com Lula sobre a situação do Brasil, o impeachment de Dilma (não tinha acontecido ainda), seu envolvimento na Operação Lava Jato e seus mandatos e conquistas como presidente do Brasil de 2003 a 2010.;
25.08.16;Dilma Rousseff abandonnée entre chiens et loups;http://liberation.fr/planete/2016/08/24/dilma-rousseff-abandonnee-entre-chiens-et-loups_1474476;Lava Jato;Chantal Rayes;Dilma Rousseff;Impeachment de Dilma; A Lava Jato é citada como um dos fatores que desencadeou o impeachment, especialmente pelo fato de o PT estar envolvido.;
25.08.16;Dilma Rousseff abandonnée entre chiens et loups;http://liberation.fr/planete/2016/08/24/dilma-rousseff-abandonnee-entre-chiens-et-loups_1474476;Lava Jato;Chantal Rayes;jornal O Estado de S. Paulo;Impeachment de Dilma; A Lava Jato é citada como um dos fatores que desencadeou o impeachment, especialmente pelo fato de o PT estar envolvido.;
25.08.16;Dilma Rousseff abandonnée entre chiens et loups;http://liberation.fr/planete/2016/08/24/dilma-rousseff-abandonnee-entre-chiens-et-loups_1474476;Lava Jato;Chantal Rayes;;Impeachment de Dilma; A Lava Jato é citada como um dos fatores que desencadeou o impeachment, especialmente pelo fato de o PT estar envolvido.;
15.09.16;Affaire Petrobras : une gifle  pour la figure Lula;http://liberation.fr/planete/2016/09/15/affaire-petrobras-une-gifle-pour-la-figure-lula_1498490;Lava Jato;Chantal Rayes;Rui Falcão (presidente do PT);Lula na Lava Jato/ Powerpoint da PF;Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Affaire Petrobras : une gifle  pour la figure Lula;http://liberation.fr/planete/2016/09/15/affaire-petrobras-une-gifle-pour-la-figure-lula_1498490;Lava Jato;Chantal Rayes;Deltan Dallagnol;Lula na Lava Jato/ Powerpoint da PF;Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Affaire Petrobras : une gifle  pour la figure Lula;http://liberation.fr/planete/2016/09/15/affaire-petrobras-une-gifle-pour-la-figure-lula_1498490;Lava Jato;Chantal Rayes;Folha de S. Paulo (citada como pouco amigável com a esquerda);Lula na Lava Jato/ Powerpoint da PF;Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Affaire Petrobras : une gifle  pour la figure Lula;http://liberation.fr/planete/2016/09/15/affaire-petrobras-une-gifle-pour-la-figure-lula_1498490;Lava Jato;Chantal Rayes;Cristiano Martins (advogado de Lula);Lula na Lava Jato/ Powerpoint da PF;Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Affaire Petrobras : une gifle  pour la figure Lula;http://liberation.fr/planete/2016/09/15/affaire-petrobras-une-gifle-pour-la-figure-lula_1498490;Lava Jato;Chantal Rayes;Lula;Lula na Lava Jato/ Powerpoint da PF;Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
15.09.16;Affaire Petrobras : une gifle  pour la figure Lula;http://liberation.fr/planete/2016/09/15/affaire-petrobras-une-gifle-pour-la-figure-lula_1498490;Lava Jato;Chantal Rayes;;Lula na Lava Jato/ Powerpoint da PF;Sergio Moro é citado como ídolo da direita e não dos brasileiros como um todo/ O texto fala sobre a coletiva de imprensa feita pela PF na qual Deltan Dallagnol apresentou um powerpoint para dizer que Lula era o chefe da Orquestra da Lava Jato. Ele disse que não tinha provas, mas tinha convicção.;
